village,stove,min_per_event,event_per_day,min_per_day
village1,A-01,60,1,60
village2,A-01,120,1,120
village3,A-01,30,0.428571429,12.85714286
village1,A-02,30,0.642857143,19.28571429
village3,A-02,30,1,30
village2,A-02,30,1,30
village1,A-03,120,0.714285714,85.71428571
village3,A-03,25,0.857142857,21.42857143
village2,A-03,60,1,60
village2,A-04,60,1,60
village1,A-04,40,1,40
village3,A-04,30,0.428571429,12.85714286
village1,A-05,60,0.571428571,34.28571429
village2,A-05,60,1,60
village3,A-05,90,1,90
village3,A-06,60,1,60
village2,A-06,30,1,30
village1,A-06,60,1,60
village1,A-07,60,0.714285714,42.85714286
village2,A-07,60,1,60
village3,A-07,15,0.285714286,4.285714286
village1,A-08,30,1,30
village2,A-08,30,1,30
village3,A-08,60,1,60
village3,A-09,60,1,60
village1,A-09,45,1,45
village2,A-09,60,0.857142857,51.42857143
village1,A-10,45,1,45
village2,A-10,60,1,60
village3,A-10,60,1,60
village1,A-11,30,1,30
village2,A-11,60,1,60
village3,A-11,30,0.571428571,17.14285714
village2,A-12,120,1,120
village1,A-12,60,0.571428571,34.28571429
village3,A-12,30,1,30
village2,B-01,30,0.714285714,21.42857143
village1,B-01,45,1,45
village3,B-01,40,0.857142857,34.28571429
village1,B-02,30,1,30
village2,B-02,30,1,30
village3,B-02,30,1,30
village1,B-03,30,1,30
village2,B-03,30,1,30
village3,B-03,120,0.428571429,51.42857143
village3,B-04,120,1,120
village2,B-04,180,0.142857143,25.71428571
village1,B-04,60,0.428571429,25.71428571
village2,B-05,150,0.857142857,128.5714286
village1,B-05,25,0.857142857,21.42857143
village3,B-05,35,1,35
village1,B-06,60,0.714285714,42.85714286
village2,B-06,30,1,30
village3,B-06,45,1,45
village2,B-07,120,0.857142857,102.8571429
village1,B-07,40,1,40
village3,B-07,15,1,15
village2,B-08,180,0.857142857,154.2857143
village1,B-08,60,0.714285714,42.85714286
village3,B-08,180,1,180
village1,B-09,30,1,30
village2,B-09,60,1,60
village3,B-09,60,0.857142857,51.42857143
village1,B-10,60,0.357142857,21.42857143
village2,B-10,30,0.714285714,21.42857143
village3,B-10,180,1,180
village2,B-11,120,1,120
village1,B-11,30,0.714285714,21.42857143
village3,B-11,30,0.285714286,8.571428571
village3,B-12,120,0.857142857,102.8571429
village2,B-12,120,0.857142857,102.8571429
village1,B-12,30,1,30
