survey,consent,opt_out_understand,date,village,cookstove_number,Column1,18_or_older,primary_cook,electrical_connection,functional_connection,hr_elec_day_high,hr_elec_day_low,own_phone,gender,age,household_total,household_women,household_men,household_girls,household_boys,commercial_cooking,n_phones,n_rooms,separate_kitchen,collect_or_purchase,collect_or_purchase2,collect_or_purchase3,collection_per_week_low,collection_per_week_high,collection_per_week_mean,hr_collection_wk_low,hr_collection_wk_high,hr_collection_wk_mean,money_wood_wk_low,money_wood_wk_low2,money_wood_wk_mean,paid_to_charge,paid_charge_times,paid_charge_per,paid_charge_other,paid_charge_fee_low,paid_charge_fee_high,where_charge_home,where_charge_others_home,where_charge_business,where_charge_taxi,where_charge_solar,where_charge_other,stoves_in_home_shakti,stoves_in_home_chulha,stoves_in_home_tsf,stoves_in_home_metal_charcoal,stoves_in_home_metal_wood,stoves_in_home_kerosene,stoves_in_home_lpg,stoves_in_home_electric,stoves_in_home_solar,stoves_in_home_other,fuels_in_home_wood,fuels_in_home_charcoal,fuels_in_home_dung,fuels_in_home_crop,fuels_in_home_kerosene,fuels_in_home_lpg,fuels_in_home_electricity,fuels_in_home_solar,fuels_in_home_other,primary_food_stove_shakti,primary_food_stove_chulha,primary_food_stove_tsf,primary_food_stove_metal_charcoal,primary_food_stove_metal_wood,primary_food_stove_kerosense,primary_food_stove_lpg,primary_food_stove_electric,primary_food_stove_solar,primary_food_stove_other,primary_tea_stove_shakti,primary_tea_stove_chulha,primary_tea_stove_tsf,primary_tea_stove_metal_charcoal,primary_tea_stove_metal_wood,primary_tea_stove_kerosene,primary_tea_stove_lpg,primary_tea_stove_electric,primary_tea_stove_solar,primary_tea_stove_other,primary_fuel_food_wood,primary_fuel_food_charcoal,primary_fuel_food_dung,primary_fuel_food_crop,primary_fuel_food_kerosene,primary_fuel_food_lpg,primary_fuel_food_electricity,primary_fuel_food_solar,primary_fuel_food_other,primary_fuel_tea_wood,primary_fuel_tea_charcoal,primary_fuel_tea_dung,primary_fuel_tea_crop,primary_fuel_tea_kerosense,primary_fuel_tea_lpg,primary_fuel_tea_electricity,primary_fuel_tea_solar,primary_fuel_tea_other,worst_thing_shakti_1,worst_thing_shakti_2,worst_thing_shakti_3,worst thing: size,worst thing: fuel loading,worst thing: fuel prep,worst thing: type or volume of food can't be cooked,worst thing: no usb,rate_size,rate_stability,rate_fuel_prep,rate_appearance,rate_complexity,rate_fuel_addition,best_thing_shakti_1,best_thing_shakti_2,best_thing_shakti_3,best thing: fast cooking,best thing: less smoke,best thing: less wood,best thing: charging,best thing: trasport,best thing: fan,rate_smoke,rate_usb_charging_family,rate_usb_charging_others,rate_fan,rate_fuel_consumption,rate_cooking_speed,rate_showing_off,better_worse_tea,better_worse_curry,better_worse_upma,better_worse_khichiri,better_worse_rice,better_worse_saimi,better_worse_dal,rate_overall,purchase_price,average purchase price numeric,rental_price,average rental price,notes
baseline,yes,yes,12/7/14,village2,A-04,A,yes,yes,no,,,,yes,female,40,6,3,3,0,0,no,1,2,no,,,both,2,,2,,,,6,7,6.5,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is small in size,adding fuel from top is not comfortable,putting the pot once will not serve the purpose,1,1,,,,4,4,3,5,3,2,quick to cook,less fuel consumed,less smoke emited,,,,,,,5,5,4,6,4,4,3,better,worse,better,better,worse,better,worse,5,Rs. 200 to Rs 300,150,Rs. 20-30,25,will use carefully and not allow any damage
baseline,yes,yes,12/7/14,village2,A-05,A,yes,yes,no,,,,yes,female,23,3,1,1,0,1,no,1,3,no,collect,,,2,,2,,,,7,,7,yes,2,week,,20,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,can not put big vessels,not possible to cook for more people,1,1,,,,4,5,4,7,5,4,less smoke emitted,less wood is required,helpful in charging the light and mobile,,,,,,,7,7,6,6,7,6,5,better,worse,better,better,worse,better,worse,4,yes if it is available. can pay Rs. 1000,1000,Rs. 20,20,
baseline,yes,yes,12/7/14,village2,A-06,A,yes,yes,no,,,,yes,female,30,3,2,1,0,0,no,1,3,yes,collect,,,2,,2,,,,7,,7,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,can not put big vessels,diifficult to cook rice,1,1,,1,,5,5,6,7,5,4,less smoke emitted,less wood is required,helpful in charging the light and mobile,,,,,,,7,7,7,6,7,6,4,better,worse,better,better,worse,better,worse,4,yes if available within Rs.500,500,Rs.20,20,
baseline,yes,yes,12/7/14,village2,A-03,A,yes,yes,no,,,,yes,female,35,5,3,2,0,0,no,1,2,no,collect,,,2,,2,,,,7,,7,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,not fit for cooking food for more people,cooking curry may be difficult,,1,,1,,5,5,6,7,6,2,less smoke emitted,charging facility available,less wood required,,,,,,,6,7,7,7,7,7,5,better,worse,better,better,worse,better,worse,5,yes if available within Rs.500,,Rs. 20 per week,,
baseline,yes,yes,12/7/14,village2,A-02,A,yes,yes,no,,,,yes,female,35,3,1,1,1,0,no,1,2,no,collect,,,2,,2,,,,7,8,7.5,yes,1,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top is not comfortable,,1,,,,,3,3,4,6,4,2,quick to cook,charging mobile is possible,less wood required,,,,,,,6,6,6,7,7,5,5,better,worse,better,better,worse,better,worse,5,yes if available at Rs. 200 to 300,,Rs 20 to 30,,assure you that I will use the chulla safely and not let any damage to occur
baseline,yes,yes,12/21/14,village3,A-02,A,yes,yes,no,no,,,yes,female,30,5,1,1,3,0,no,1,2,no,,,both,2,,2,6,7,6.5,40,,40,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,adding fuel from top putting the pot down frequently,making small pieces of the wood,1,1,1,,,5,6,3,7,5,3,quick to cook,less wood is required,less smoke emited,,,,,,,6,5,5,7,4,5,3,better,better,better,better,worse,better,worse,5,yes. Rs.200 to 300,,Rs. 60 to Rs 70,,I shall take care of the chulla
baseline,yes,yes,11/23/14,village1,A-01,A,yes,yes,yes,no,1,2,yes,female,30,4,1,3,0,0,no,1,5,yes,,,both,2,,2,7,8,7.5,50,,50,yes,1,week,,5,,,someone else's home,,,,,,chulha,,basic metal charcoal stove,,,,,,,wood,charcoal,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,,,1,,,,,2,2,3,6,6,7,able to charge Mobile phone,Can have light charged with this,less time required to cook food,,,,,,,7,7,5,6,6,6,5,better,better,better,better,worse,better,better,6,If it is available in the market I can afford at best Rs. 100/- to purchase it,,I may wish to give Rs.maximum Rs. 30/- per week,,The lady has expressed her concern about its safety and assured that she will keep it safely after every use. The lady is more interested in keeping the chulla for ever.
baseline,yes,yes,11/23/14,village1,A-02,A,yes,yes,no,no,,,yes,female,30,6,2,2,1,1,no,1,2,no,,,both,2,,2,7,8,7.5,50,,50,yes,1,week,,5,,,someone else's home,,,,,,chulha,,basic metal charcoal stove,,,,,,,wood,charcoal,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,to meet our need the size must be little bigger,,1,,,,,3,3,7,6,7,2,able to charge Mobile phone,able charge light,less fuel consumption,,,,,,,7,7,6,7,5,7,5,better,better,better,better,worse,better,better,7,If it is available in the market then I can afford maximum Rs. 200/- to purchase it,,I can afford Rs. 30 maximum per week as rent,,The lady is careful about the safety of the stove. Eager to own the chulla
baseline,yes,yes,11/23/14,village1,A-03,A,yes,yes,no,no,,,yes,female,25,2,1,1,0,0,no,2,5,yes,,purchase,,0,,0,,,,150,,150,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,basic metal wood/dung stove,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,can not fulfill the requirement of the family,,1,,,1,,2,2,3,4,2,7,can get light after charging with it,able to charge the mobile phone,less fuel consumption,,,,,,,7,7,7,6,6,6,5,better,better,better,better,better,better,better,6,If it is available in the market for purchase then I can afford maximum Rs. 300/-,,Not interested,,Careful about the safety of the stove. Not sure how to get repaired if it will get any defects.
baseline,yes,yes,11/23/14,village1,A-07,A,yes,yes,no,no,,,yes,female,26,5,1,2,2,0,no,1,2,yes,collect,,,3,4,3.5,2,,2,,,,yes,1,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,,,1,,,,,2,3,3,4,3,3,less smoke,less fuel consumption and quick cooking,,,,,,,,6,6,5,5,6,6,5,better,better,better,worse,worse,better,worse,7,No not interested. But the price would be Rs.500/- maximum,,NO,,
