survey,opt_out_understand,date,village,cookstove_number,stoves_in_home_shakti,stoves_in_home_chulha,stoves_in_home_tsf,stoves_in_home_metal_charcoal,stoves_in_home_metal_wood,stoves_in_home_kerosene,stoves_in_home_lpg,stoves_in_home_electric,stoves_in_home_solar,stoves_in_home_other,fuels_in_home_wood,fuels_in_home_charcoal,fuels_in_home_dung,fuels_in_home_crop,fuels_in_home_kerosene,fuels_in_home_lpg,fuels_in_home_electricity,fuels_in_home_solar,fuels_in_home_other,primary_food_stove_shakti,primary_food_stove_chulha,primary_food_stove_tsf,primary_food_stove_metal_charcoal,primary_food_stove_metal_wood,primary_food_stove_kerosense,primary_food_stove_lpg,primary_food_stove_electric,primary_food_stove_solar,primary_food_stove_other,primary_tea_stove_shakti,primary_tea_stove_chulha,primary_tea_stove_tsf,primary_tea_stove_metal_charcoal,primary_tea_stove_metal_wood,primary_tea_stove_kerosene,primary_tea_stove_lpg,primary_tea_stove_electric,primary_tea_stove_solar,primary_tea_stove_other,primary_fuel_food_wood,primary_fuel_food_charcoal,primary_fuel_food_dung,primary_fuel_food_crop,primary_fuel_food_kerosene,primary_fuel_food_lpg,primary_fuel_food_electricity,primary_fuel_food_solar,primary_fuel_food_other,primary_fuel_tea_wood,primary_fuel_tea_charcoal,primary_fuel_tea_dung,primary_fuel_tea_crop,primary_fuel_tea_kerosense,primary_fuel_tea_lpg,primary_fuel_tea_electricity,primary_fuel_tea_solar,primary_fuel_tea_other,worst_thing_shakti_1,worst_thing_shakti_2,worst_thing_shakti_3,worst thing: size,worst thing: fuel loading,worst thing: fuel prep,worst thing: type or volume of food can't be cooked,worst thing: no usb,rate_size,rate_stability,rate_fuel_prep,rate_appearance,rate_complexity,rate_fuel_addition,best_thing_shakti_1,best_thing_shakti_2,best_thing_shakti_3,best thing: fast cooking,best thing: less smoke,best thing: less wood,best thing: charging,best thing: trasport,best thing: fan,rate_smoke,rate_usb_charging_family,rate_usb_charging_others,rate_fan,rate_fuel_consumption,rate_cooking_speed,rate_showing_off,rate_portability,better_worse_tea,better_worse_curry,better_worse_upma,better_worse_khichiri,better_worse_rice,better_worse_saimi,better_worse_dal,rate_overall,event_length_minutes_low,event_length_minutes_high,event_days_per_week_low,event_days_per_week_high,events_per_day_low,events_per_day_high,event_length,event_length_unit,event_length_other,frequency_make_food,frequency_make_drink,frequency_make_food_and_charge,frequency_make_drink_and_charge,frequency_use_usb_no_cooking,frequency_warmth,frequency_lighting,frequency_other,frequency_charge_own_phone,frequency_charge_others_phone,frequency_charge_own_small_led,frequency_charge_others_small_led,frequency_charge_own_large_led,frequency_charge_others_large_led,frequency_charge_other,shakti_common_fuel,shakti_common_fuel_other,who_enjoyed_shakti_most,enjoyed most you,enjoyed most husband,enjoyed most children,enjoyed most other family,who_enjoyed_shakti_most_other,loan_shakti,loan_shakti_whom,loan_shakti_why,loan_shakti_when,loan_shakti_duration,shakti_foods_chai,shakti_foods_curry,shakti_foods_upma,shakti_foods_khichiri,shakti_foods_rice,shakti_foods_saimi,shakti_foods_dal,shakti_foods_other,shakti_common_food,primary_use_case,recommend_shakti,best_part_of_study,improve_study,contact_if_for_sale,purchase_price,purchase_price_numeric,rental_price,rental_price_numeric,notes
followup,yes,12/6/14,village1,A-01,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,Shakti Chulha,,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,I donot feel comfortable putting wood from the top,The chulla is too small,wood /fuel is consumed frequently,,,,,,2,7,6,5,4,3,less wood is consumed,charging of Mobile is possible,less smoke emitted,,,,,,,6,4,3,6,5,5,5,6,better,better,better,better,worse,better,worse,,1,2,7,,2,,1,hours,,A. Every day,A. Every day,A. Every day,A. Every day,E. Never,E. Never,E. Never,Not used for other purposes,A. Every day,E. Never,A. Every day,E. Never,E. Never,E. Never,no other use,wood,,other family,,,,,,no,,,,,chai,curry,upma,,,semia,,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,I love the Chulla as a whole. But I felt little disappointed adding the fuel frequently lifting the pot from the chulla,Adding wood from the top is difficult. So please make a chulla where the wood can be put from the side,yes,Rs. 200 to 300 is the price I would like to pay,250,50-to 60 rupees,55,The clip of the chulla at the bottom was broken
followup,yes,12/20/14,village2,A-01,Shakti Chulha,chulha,,,,,,,,,wood,,,crop residues,,,,,,Shakti Chulha,,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,frequently the pot is to brought down and add fuel,making small pieces of wood as fuel,,,,,,5,5,2,4,5,1,cooking made quick,less wood consumed,less smoke emitted,,,,,,,5,6,4,6,6,4,4,5,better,better,better,better,worse,better,worse,4,5,,7,,2,,2,hours,,E. Never,A. Every day,A. Every day,A. Every day,B. Every 2 days,E. Never,E. Never,E,A. Every day,C. 1-3 times per week,A. Every day,C. 1-3 times per week,E. Never,E. Never,no other use,wood,crop residues,you,,,,,,no,,,,,chai,curry,,,rice,,,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,seeing and using a new thing I felt happy,There is a need to make the chulla bigger,yes,Rs.300 to 400,350,Rs40-50,45,Till 18 December it was working well but on 19 December it stopped functioning suddenly
followup,yes,1/6/15,village3,A-01,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,one has to add wood repeatedly,unable to cook rice,,,,,,2,3,4,6,4,3,less smoke,quick to cook,I could charge my mobile,,,,,,,5,6,4,4,5,5,4,6,better,worse,better,better,worse,better,worse,3,5,,3,,2,,30,minutes,,E. Never,E. Never,E. Never,C. 1-3 times per week,B. Every 2 days,E. Never,E. Never,E,B. Every 2 days,E. Never,C. 1-3 times per week,E. Never,B. Every 2 days,E. Never,E,wood,,you,,,,,,no,,,,,chai,,,,,,,,chai,Making small snacks or drinks like tea on this cookstove.,yes,Learning to cook with a new stove,make it little bigger and system of adding fuel from bottom,no,No idea,NA,No,NA,Clip was down and the fan stopped working
followup,yes,12/6/14,village1,A-02,Shakti Chulha,chulha,,,,,,,,,wood,,,crop residues,,,,,,Shakti Chulha,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,crop residues,,,,,,wood,,,crop residues,,,,,,too small in size,frequently the pot is to brought down and add fuel,not fit for cooking for more number of people,,,,,,6,5,4,5,4,3,cooks fast,charging of Mobile is possible,lass time required for making tea etc.,,,,,,,5,5,4,6,6,6,5,7,better,worse,better,better,worse,better,worse,5,1,,4,5,2,,30,minutes,,D. Less than once per week,B. Every 2 days,A. Every day,C. 1-3 times per week,E. Never,E. Never,E. Never,E,A. Every day,E. Never,A. Every day,E. Never,E. Never,E. Never,e,wood,,you,,,,,,no,,,,,chai,,upma,khichiri,,semia,,,"Chai, Upma, Khicri","Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,It was a fun for me. Seen a completely new thing in life,The first point is the Chulla must be made bigger,yes,200 to 300 Rupees,250,10 to 20 rupees,15,I have never tried to misuse the chulla and returned in good condition
followup,yes,1/6/15,village3,A-02,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,feel bad to add fuel frequently,not able to cook rice,,,,,,2,4,4,7,4,2,less smoke,less wood consumed,less time spent for cooking,,,,,,,5,6,4,5,4,6,4,7,better,better,better,better,worse,better,worse,4,5,,7,,2,,30,minutes,,E. Never,E. Never,E. Never,A. Every day,B. Every 2 days,E. Never,E. Never,E,B. Every 2 days,E. Never,B. Every 2 days,C. 1-3 times per week,A. Every day,E. Never,E,wood,,you,,,,,,no,,,,,chai,,,,,,,,chai,Making small snacks or drinks like tea on this cookstove.,yes,Sir and Madam came and taught us a new thing and its uses,Bigger size chulla with system of adding fuel from bottom. Gving the chulla to us for ever instead of for 15 days,yes,Rs 300,300,Rs 10,10,Fan is not working
followup,yes,12/20/14,village2,A-02,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel bad to add the fuel frequently,too small in size,,,,,,,2,4,4,6,4,2,able to charge mobile,less wood consumed,less time spent for cooking,,,,,,,5,6,4,5,5,6,4,7,better,better,better,better,worse,better,worse,4,10,,7,,3,,30,minutes,,E. Never,E. Never,E. Never,A. Every day,E. Never,E. Never,E. Never,E,B. Every 2 days,E. Never,A. Every day,C. 1-3 times per week,B. Every 2 days,D. Less than once per week,e,wood,,your husband,,,,,,no,,,,,chai,curry,upma,,,,,,chai,Making small snacks or drinks like tea on this cookstove.,yes,learning how to operate the chulla,If it is given for ever to us. Adding fuel from the bottom part would be better,yes,Rs 400,400,Rs 10,10,condition is good
followup,yes,12/6/14,village1,A-03,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,Shakti Chulha,,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,bringing down the pot frequently,too small in size,,,,,,,4,5,4,7,5,2,cooking made quick,mobile and light charging possible,less wood consumption,,,,,,,6,5,4,7,7,6,5,7,better,better,better,better,worse,better,worse,2,3,,5,,2,,2,hours,,E. Never,E. Never,A. Every day,B. Every 2 days,E. Never,E. Never,E. Never,E,A. Every day,E. Never,B. Every 2 days,E. Never,E. Never,E. Never,,wood,,your husband,,,,,,no,,,,,chai,curry,,,rice,,,,all the items mentioned above,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,feel good using the chulla and like to advice others,the size must be little bigger. Putting wood from the lower side would be good,yes,200-300 rupees,250,20-30 rupees,25,used it with much care
followup,yes,1/6/15,village3,A-03,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,frequently the pot is to brought down and add fuel,not fit for cooking for more number of people,,,,,,5,5,5,5,6,4,less smoke,less wood consumed,quick to cook,,,,,,,6,6,6,6,7,7,5,7,better,worse,better,better,worse,better,worse,5,5,,6,,2,,25,minutes,,C. 1-3 times per week,D. Less than once per week,A. Every day,A. Every day,C. 1-3 times per week,B. Every 2 days,B. Every 2 days,C (make hot water),C. 1-3 times per week,D. Less than once per week,B. Every 2 days,E. Never,A. Every day,B. Every 2 days,,wood,,you,,,,,,no,,,,,chai,,,,,semia,,,chai and semia,Making small snacks or drinks like tea on this cookstove.,yes,,if it is bigger in size,yes,Rs 500,500,Rs 10,10,Suspect that some problem is there. Fan is not functioning as per the lady who used it
followup,yes,12/20/14,village2,A-03,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel bad to add the fuel frequently putting the vessle down,it is only fit for cooking for less number of people,,,,,,,3,5,6,4,5,5,less smoke,fan is fitted there,charging through USB is good,,,,,,,7,5,5,6,7,4,3,6,better,better,better,worse,worse,better,better,6,8,,7,,3,,1,hours,,B. Every 2 days,A. Every day,D. Less than once per week,B. Every 2 days,B. Every 2 days,E. Never,E. Never,E,A. Every day,D. Less than once per week,B. Every 2 days,E. Never,B. Every 2 days,E. Never,,wood,,you,,,,,,no,,,,,chai,curry,upma,,,semia,,,Chai (Tea) and Curry and Upma,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,feel good taking part in the survey. Learnt new things,no not interested. I can not suggest any new thing,yes,"Interested, but can not afford to purchase as I do not have money",NA,no,NA,OK
followup,yes,12/20/14,village2,A-04,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,not able to cook rice,feel bad to add fuel frequently,,,,,,,5,4,5,6,4,3,quick to cook,no smoke,charging posible,,,,,,,5,6,4,5,5,5,4,6,better,better,better,better,worse,better,better,5,10,,7,,3,,1,hours,,E. Never,E. Never,B. Every 2 days,A. Every day,E. Never,E. Never,E. Never,E,A. Every day,B. Every 2 days,A. Every day,E. Never,B. Every 2 days,E. Never,e,wood,,you,,,,,,no,,,,,chai,curry,upma,,,,dal,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,feel good learning a new thing,instead of adding fuel from top if there will be a system of adding wood from the bottom.  giving the chulla to the women for ever and not for 15 days only,yes,Rs. 200 - 250,225,Rs 10,10,Chulla is OK
